name
J.K. Rowling
Nigel Warburton
Jeremy Weate
Philip J. Ivanhoe
Alan Hausman
Leo Strauss
Pierre Hadot
James   Paul
Dave Robinson
Roger Scruton
Anthony Kenny
Mark T. Conard
John Harwood Hick
Will Kymlicka
James B. South
Stewart Shapiro
Cornelius Agrippa
David L. Hull
Robert Paul Wolff
Richard M. Rorty
Buzz Bissinger
Bruce Feiler
David Pogue
Joss Whedon
Dan Birlew
Joe  Miller
Mike Mason
Sam Kauffmann
David Hackett Fischer
Elmer Kennedy-Andrews
Georgette Heyer
Kurban Said
Barbara Nadel
Ina May Gaskin
Stephen Gaskin
Mike Ashley
Cook's Illustrated Magazine
Nobuhiro Watsuki
Yefim Gordon
Owen    Jones
David   Robbins
Melinda Curtis
Kathleen Eagle
Tess Gerritsen
D.T. Max
Richard W. Wrangham
Dale Peterson
Edward T. Welch
Tsutomu Nihei
Stan Berenstain
Paula J. Caplan
Laura Florand
David W. Phillips
Oh! Great
James H. Billington
Marlo Morgan
Steve Kenson
Armand Marie Leroi
Chris Claremont
David Dalton
Michael J. Bradley
Leigh Nichols
Dean R. Koontz
Richard Paige
Ramsey Campbell
Peter Ackroyd
Marjorie Garber
John   Barton
Charles Lamb
Charlaine Harris
Stephen Greenblatt
Francine Segan
Lisa Gardner
John Gardner
John W. Gardner
J. Michael Lennon
Jean Lorrah
Richard Corliss
Knut Hamsun
Clive Barker
Aimé Césaire
Robert Silverberg
Tim Underwood
Stewart O'Nan
Joyce Reardon
Jim Thompson
Sholom Aleichem
Paule Marshall
H.P. Lovecraft
Simone Weil
Clive Cussler
Joseph Gallagher
Chris    Green
Jules Verne
Pauline Francis
Gonzague Saint Bris
Mary Gordon
Lisa Unger
John A. Keel
David Deida
Paul Perry
Margaret Wise Brown
Bill Maher
Jane Jeong Trenka
Judd Winick
Audre Lorde
Carolyn Keene
Roy Mottahedeh
Tom Brokaw
Ricardo Semler
Robert J. Ray
Francis Meynell
Lynn Setzer
Greg Cox
Graham Hancock
James Hillman
Mike Kennedy
Gail Godwin
T.S. Eliot
Frances Gies
Rosie Daley
Ursula Hegi
Amy L. Marsland
Sarah K. Herz
Stewart Brand
Donna Dale Carnegie
Charles Wheelan
Pavel Tsatsouline
Desmond Morris
Doug Lansky
Michael J. Mauboussin
Robbie Stamp
Max Barry
Gloria Naylor
Karel Čapek
Michio Kaku
Joanne Fluke
Eric H.F. Law
Bill Buford
Will Eisner
Akira Yoshida
Sandy Petersen
Lynn Willis
William    Jones
Keith Herber
Cody Goodfellow
Sam Johnson
Stephen Mark Rainey
Jim Fergus
William Easterly
William Strunk Jr.
Marta Acosta
Candace Ward
Michael J. Lyons
Logan Swanson
Allen J. Frantzen
Anya Seton
Alice Dalgliesh
Bethany Roberts
Janet S. Wong
Nancy White Carlstrom
Susan Oliver
Lauren Henderson
Jennifer Crusie
Anna Maxted
Danzy Senna
Kay Redfield Jamison
C.S. Friedman
Linda  Anderson
Keith Gray
Carolyn Meyer
Quentin Carter
Quentin W. Fleming
Edwin Page
Quentin Skinner
Aljean Harmetz
Andre Dubus
Paul A. Sabatier
Sara Zarr
Sharon Rose Wilson
Donna Freitas
Stephen Jay Gould
James B. Stiff
Joseph Delaney
Jim Hougan
Howard F. Lyman
Vicki Constantine Croke
Donna M. Jackson
Theodosius Dobzhansky
Michael D. Lyman
Lyman S. Spitzer Jr.
Adam Swift
Stephen Mulhall
Max Beerbohm
Matt Braun
Hugh Honour
Elizabeth Mann
John Patrick Diggins
Richard Wilhelm
Sarah Dening
Reader's Digest Association
William L. Simon
Davina Thomas
Jeffrey Ford
Peter Walsh
Spider Robinson
Judy Hall
Catherine de Zegher
William C. Davis
J.G. Passarella
Thomas Mann
Brian L. Weiss
Stephen Briggs
Peter Haining
Peter Milligan
Murray Sayle
Bruce Campbell
Robert  Hamburger
Harold Coyle
Scott MacMillan
Marie McSwigan
Mark Harlan
Charles W. Sydnor Jr.
Peter Maurice Wright
John Maddox Roberts
Sean McMullen
Damion Hunter
Avigdor Kahalani
Jonathan Parshall
Bob Madgic
Dorothy Roberts
Caitlin Brennan
Keith Baker
Francine Patterson
Barry Chubin
W.E.B. Griffin
Robert Fulghum
Richard Shenkman
Jonathan Ryder
Larry Bond
Rick Hicks
R.F. Laird
Radclyffe
Deb Stover
Penny Jordan
Greg Iles
Robin Cook
Steve Allen
Jack Higgins
Leon Uris
Chris Ryall
Catherine Hapka
Karen A. Bale
Ruth Stiles Gannett
Ciruelo Cabral
Stephanie Rowe
James A. Owen
Alan Cohen
Lester del Rey
Mary Walton
Oliver Ho
Joe Kelly
Marc Andreyko
Sabine C. Bauer
D.W. Buffa
Terri Blackstock
Robert Stock
Sylvia Day
Mark Nesbitt
Jerry Seinfeld
Friedrich Dürrenmatt
Norman Schwarzkopf
James M. McPherson
Cecil Adams
Ryūnosuke Akutagawa
Leil Lowndes
Lucille Colandro
Stephen Crane
Gary Friedrich
Theodore Roszak
Christopher Bram
R. Gary Patterson
Harpo Marx
Joe Adamson
Ray McAllister
Sarah Mayberry
Marc Eliot
Starr Smith
Michael Munn
John G. Fuller
Babette Rothschild
Mary Balogh
Sue William Silverman
Christopher Pike
Sandra Benítez
Linda Lay Shuler
Shauna Singh Baldwin
Maggie Shayne
Teresa Medeiros
Daniel  Wallace
Michael Littlefield
Ann Margaret Lewis
Welles Hartley
Timothy Zahn
John Knoll
John Ostrander
J.W. Rinzler
W. Haden Blackman
Wesley Martin
Bonnie Burton
Thomas Andrews
John Jackson Miller
Stephen J. Sansweet
Robin  Davis
Dave Land
Terryl Whitlatch
Matthew Bortolin
Rob Williams
Scott Allie
Matthew Woodring Stover
Curtis Saxton
Ron Marz
Brian Copeland
Black Elk
Tom Arnett
Johnny Cash
Michael Streissguth
Eric Bischoff
Amy Goldman Koss
Joseph Campbell
Bob Spitz
Geoff Emerick
Simon Wells
Philip Norman
Alan Aldridge
Bruce Spizer
Chris Ingham
The Beatles
Peter     Brown
Devin McKinney
Mark Hertsgaard
Mark Lewisohn
Keith Badman
Peter J. Smith
Hunter Davies
Richard Buskin
Maxwell Mackenzie
Meredith Daneman
Thomas Lewis
J.R. Ward
Phyllis A. Bird
Nayantara Sahgal
Robert Todd Carroll
Mark Crispin Miller
Charles Mackay
Martin S. Fridson
Gustave Le Bon
Arthur C. Clarke
David Goodis
Stan Hoig
Cait London
Robert Kanigher
Joe Kubert
Mine Yoshizaki
Lawrence Watt-Evans
Phillip C. McGraw
Martha Heineman Pieper
Debra Marquart
Michael Syvanen
Gordon Bowker
Anita Desai
Kristian Fraga
Paul Burrell
Nancy Bartholomew
Stephen M.R. Covey
Kim Newman
David Neiwert
William H. Keith Jr.
Elizabeth Lowell
Ann Maxwell
Joan Jonker
Jim  Murphy
Todd Gitlin
Joan Holub
Pat Harrigan
Monte Cook
Lewis B. Namier
Loree Lough
Sarah Fielding
Debra Hess
Frederick K. Goodwin
Paul J. Mikol
Raymond T. McNally
Larry Young
G. Edward White
William C. Dowling
James Robert Smith
Robert M. Price
Cynthia J. Arnson
Frederick Douglass
Jean Van Leeuwen
Vella Munn
Charlotte Lyons
Mary Engelbreit
Jason King
Mary Ashworth
David Wojnarowicz
Bill Pittman
Elizabeth Knowles
Phil Brucato
Charles Tandy
Laura Driscoll
Dave Aikins
Richard Kern
John W. Dean
United Feature Syndication
Syd Hoff
Susan    Oliver
Shannon Hengen
Susan Hill
Jane Gardam
Gavin Baddeley
Georges Bataille
William A. Cohen
John Waters
John D. Cox
Rosamunde Pilcher
William W. Johnstone
Jonathan  Andrews
Iain Crichton Smith
Stephen  Mansfield
Lloyd P. Gerson
David Lubar
Bernard Taper
Beryl Markham
Gwynne Forster
Shayla Black
L.A. Banks
Rona Sharon
Kingdome 19
Melissa Kantor
Nancy Tillman
Milan Trenc
Carson McCullers
Muriel Spark
J. Scott Duvall
Alice Wong
Robb Forman Dew
Will Ferguson
Jasmine C.M. Luk
Sinclair B. Ferguson
Steven Nadler
David A. Nadler
Detlev J.K. Peukert
Ruth Rendell
Reginald Hill
Geraldine Pinch
Claudia Bishop
Ronald Takaki
Elan Golomb
Woody Hochswender
Geoffrey Batchen
Mitali Perkins
Evan Thomas
Anne Morrow Lindbergh
Carl Plasa
Good Housekeeping
Frances Burney
Frances Oliver
Suzanne Farrell
Katherine Hall Page
David E. Kaiser
Hiawyn Oram
Rebecca J. Donatelle
Brian Johnston
Judy Blume
Jennifer O'Connell
Margaret Sanborn
Daria Snadowsky
Kate Braverman
Gaius Julius Caesar
Michael Parenti
John Piper
Arundhati Roy
James C. Humes
John Keegan
Robin Lane  Fox
Kurt Reighley
Richard D. Nelson
Charles Taylor
Ruth  Abbey
George Sullivan
Guy Kawasaki
Walter Foster Creative Team
Peter Elkind
Georgina Grey
Cheryl Carlson
Ed McBain
Efraim Turban
Brian D. McLaren
Jill Nelson
Quincy Jones
Fred Goodman
Howard E. Covington Jr.
Fredric Dannen
Mary Kay Andrews
Ryōtarō Shiba
Donald Goines
Robert E. Hemenway
Henry Louis Gates Jr.
Sang-Sun Park
Christopher Pinney
Richard A. Posner
Gerald Posner
Sally Potter
Ludovico Ariosto
Orlando Figes
Pat Frank
Arthur Agatston
Nevil Shute
Dalai Lama XIV
Chris Prentiss
Sharon Salzberg
Benjamin James Sadock
Ben R. Kaplan
Kate Hemphill
Let's Go Inc.
Roff Smith
Richard Seymour Hall
Nassim Nicholas Taleb
Charles Burns
Edward Gorey
Peter Tallack
Raina Telgemeier
Robert Benedetti
Lilian Jackson Braun
Valerie Boyd
Charles Bukowski
Arthur Plotnik
Amy Krouse Rosenthal
Lynsay Sands
Alexandra Siy
Nigella Lawson
John Tosh
Mari Mancusi
Howard Chaykin
Nancy Verde Barr
Nikki Stafford
Govind Armstrong
Richard Platt
John Mason
Ilona Andrews
Brian Doherty
Tania Zamorsky
Marion Crawford
Juan Rulfo
David Lindsay-Abaire
Glenn Yeffeth
Betty Friedan
Daniel Horowitz
James Herriot
Jim Wight
April Jones Prince
MaryAnn F. Kohl
Ann Hewetson
Keith Donohue
Kris Lane
Carol Drinkwater
Henry Jenkins
Thomas X. Hammes
Hailey Abbott
Charles Lockwood
Janice Cook Migliaccio
J.E. Bright
Susanna Tamaro
Emily Blake
Julie Leto
Joy King
Liz Carlyle
Christine Rimmer
Andy Griffiths
Jane B. Mason
Elinor M. Brent-Dyer
Robin Wasserman
Alison Bechdel
Denny Caringer
Ian W. Toll
Nick Lane
Charles C. Mann
James Brodrick
Lincoln Child
Gelsey Kirkland
Barbara Richard
Allison Pearson
Courtney E. Martin
Brian Tracy
Tish Boyle
Sean B. Carroll
Susan Carroll
Gene A. Brucker
Nikki Giovanni
Wolfgang Amadeus Mozart
Alex Constantine
Gale Gand
C.S. Harris
John    Mason
L. John Mason
Beth A. Jones
Ann Bausum
John     Nichols
Mervyn Peake
Lisa Chaney
Simon Anholt
Ann Hodgman
Susan Conant
Jessica Conant-Park
Jerry Burton
David Hewson
Jim Supica
Bruce Cumings
Richard Bonson
Stephen Biesty
Jennifer Allison
John Newhouse
Joseph Epstein
Rick Decker
James E. Campbell
James Campbell
James   Campbell
Ronda Thompson
Mark Kermode
Frank Darabont
Frank Zappa
Garrison Keillor
Henry Mintzberg
Sherry Gershon Gottlieb
Barbara Bottner
Cynthia Chin-Lee
Rumi
Matt Riser
Barthe DeClements
Henning Mankell
Devon W. Carbado
Lee Charles Kelley
Sheri Rose Shepherd
Marianne Williamson
Ann M. Martin
Carol Belanger Grafton
Alice Medrich
Peter Reinhart
David B.
Naomi Wolf
Thomas C. Foster
Francine Prose
Rebecca  Brown
Richard Peck
Lisa S.  French
David Haynes
Michele K. Spike
Livy
Theodore Ayrault Dodge
John Prevas
Leonard Cottrell
Laurence L. Brunton
Patrick Nobes
Caleb Carr
Irving John
John   Hammond
Marisabina Russo
Susan Minot
Stephen Minot
Eliza Minot
Erik  Larson
Terry  Taylor
Vikram Chandra
Rachel Simon
Page McBrier
Karen Essex
Frank Zöllner
Ursula Nordstrom
Jack Dunphy
Megan Whalen Turner
Sharyn November
Paul Cronin
Arthur Herzog III
Peter Mayle
Julie Orringer
Michel Faber
Jacqueline Carey
Peter Carey
Drew Carey
Julian Caldecott
Paola Cavalieri
Sy Montgomery
Anthony D. Pellegrini
Paul Ruditis
L. Alan LeDoux
Heather Jarman
James K. Morrow
William Beebe
Cara Black
Diane Setterfield
Richard K. Morgan
Barbara Cleverly
Christopher Buckley
Irving Stone
Pauline Réage
Laura Furman
Doris Kloster
Arthur Bennett
Andy Hertzfeld
Richard Llewellyn
David Donovan
Karyn Monk
Jack Finney
Marcus J. Borg
Gwen Moran
Luke Welling
W. Jason Gilmore
Janet Valade
Charlotte Fiell
Robert Brent Toplin
Kelly  Carr
Laurence Sterne
T.R. Reid
Sarah Johnstone
Eric R. Wolf
John M. Merriman
Walter Rodney
Norman Davies
Jim Carroll
Ed  Young
Nick Tosches
Ben Schott
John W. Schott
Chalmers Johnson
Carl Safina
Joseph Bruchac
Nicola Davies
Gary Snyder
Mitchel Resnick
Richard D. Bartlett
Liz Palika
Paul Galdone
Guy W. Jones
Basil Pao
Jack Vance
A.E. Cunningham
Frederik Pohl
Nicholas Johnson
Clifford D. Simak
Edmund Morris
John Gribbin
Lois N. Magner
Tom Kelley
Hemant Mehta
Gene Wolfe
Debra Cowan
Better Homes and Gardens
James  Hawkins
John Brunner
Suzanne C. O'Connell Smeltzer
Karl Barth
Chad Oliver
Eric Frank Russell
Peter D'Epiro
Robertson Davies
Ellen Evert Hopman
Terry Pastor
Edward St. Aubyn
John Graves
Barry Glassner
Frank Furedi
Chris Abani
David Stanley
Jim Lehrer
Ken Haedrich
Julian May
Francis Davis
Pauline Kael
Suzanne Enoch
Linda Turner
Kate Walker
John Colapinto
Jeff Povey
Charles Allen
Linda Hall
Rachel Field
Rosemary Wells
Dōgen
Ryōkan
Anton Myrer
Mary Higgins Clark
Stanley Weintraub
Antonin Artaud
Robin McGraw
Harold C. Livesay
Andrew Carnegie
Frederick Exley
Tananarive Due
Christopher Priest
Richard Russell Lawrence
Dow Mossman
Jean Stone
Roberta Grobel Intrater
Lori Fulton
John Kenneth Galbraith
Robin P. Williams
James Wallace
Sara Barton-Wood
Stephen Manes
H.W. Brands
Linda Francis Lee
Jean Craighead George
Upton Sinclair
Mary Ellen Snodgrass
Michael Nelson
Michael J. Nelson
Joel Spolsky
Paul Graham
Harlan Ellison
John  Smith
Lane Smith
John Maynard Smith
Alden T. Vaughan
Stephenie Meyer
Newt Scamander
Sean Smith
Allan Zola Kronzek
Alex Kotlowitz
Laura E. Berk
Elvi Rhodes
Jill Mansell
Chris Manby
Jessica Adams
Charles Boyce
Elise Broach
Reed Martin
Gary L. Blackwood
Frank Kermode
Peter Doggett
Jonathan Carroll
James Kirkwood Jr.
Lynda Milligan
Donna VanLiere
Laura Caldwell
Pedro Calderón de la Barca
Steven Heller
Ruth Krauss
Donna Hill
Eva-Maria Metcalf
Eleanor Estes
Alistair Moffat
Roberts Liardon
Stephen E. Ambrose
Scott  Freeman
Laurent de Brunhoff
Lois Lenski
Margaret A. Weitekamp
Merline Lovelace
Doug Stanton
Elizabeth Stewart
Joel-Peter Witkin
Glenn M. Schwartz
Elda Minger
Harold G. Moore
Tom Wicker
Dwight D. Eisenhower
Kenneth Osgood
John S.D. Eisenhower
Martin Luther King Jr.
E.B. Potter
Charles Kingsley
Barrie Trinkle
John Howard Griffin
Bill Farrel
David L. Robbins
Patrick Robinson
Joanna Weaver
Mary Oliver
Mansur Abdulin
Meljean Brook
Mariel Hemingway
Scott Donaldson
James Craig Holte
Elizabeth Russell Miller
Diane  Kennedy
Christopher Cokinos
Barbara Conklin
Jimmy Buffett
Thomas Ryan
Nicholas Dodman
Marlene Targ Brill
James Daley
Kenneth H. Blanchard
Bill  Bryson
Susan Van Kirk
Kathleen Eschenburg
Kate Pennington
Ishmael Beah
Michael Koryta
Kathleen Olmstead
Bartholomew Gill
Daniel Topolski
Ann Abramson
Bob Tarte
Leonore Fleischer
Rusty Young
Eric Hobsbawm
Lauren Stringer
Núria Roca
Linda Glaser
Toni Bentley
Russell Evans
Eleanor Dwight
Diana Vreeland
James T. Patterson
Ernesto Laclau
Paul DuBois
Jeremy D. Zawodny
Betty Mahmoody
Virginia Lee Barnes
Thomas Kinkade
Barbara Coloroso
Carol Lloyd
Mimi Dietrich
Rebecca Coffey
Betty Neels
John Ehle
Sidney Sheldon
Edmund S. Morgan
Eugene J. McCarthy
Jessica Mitford
Amanda Eyre Ward
Theodore Sturgeon
Edward Lewis Wallant
Donald Barthelme
Lynne Rae Perkins
Crystal Lacey Winslow
Melissa de la Cruz
John Wooden
Michelle Tea
Lyn Macdonald
Harry Hamernik
Eric B. Martin
Salvador Plascencia
Cheryl St. John
Mary McBride
Ed Gorman
Emily Barr
Sara Gruen
Rebecca Hagan Lee
Meredith Fletcher
Vincent Lardo
Lawrence Sanders
Jack Kerley
Colm Tóibín
Karen Tei Yamashita
Harold Abelson
Kiyohiko Azuma
Katherine Ramsland
Anne Rampling
Faye Perozich
Sharon Kay Penman
Robin S. Sharma
Terry Goodkind
Harlan Coben
Horace
David      West
Garry Nelson
John Henry Newman
Stefano Benni
Raeleen D'Agostino Mautner
Louise DeSalvo
Melania G. Mazzucco
Leonard Sweet
Emine Sevgi Özdamar
Andrea Levy
Steve McCurry
Stephanie McCurry
Luis Fernando Verissimo
Nextext
Nadeem Aslam
Arnon Grunberg
Matthew J. Gibney
Dan Slott
John J. Nance
Architecture For Humanity
Patrick Marnham
Frank Beddor
Ron Rash
Bobby Henderson
Jon Stone
Sanyika Shakur
David Wellington
Brian Hall
Elwood Reid
Lindsey Davis
Horace  Silver
Shelby Foote
Terri Apter
Dorothy Corkille Briggs
Larry J. Koenig
Seamus Deane
Elizabeth Noble
Babette Smith
Rob Bell
Bill Hybels
Mark Mittelberg
Paul Negri
Dorothy Parker
Michael Shaara
D. Medina Lasansky
Chris Seay
Lauren Slater
Philip Zaleski
Tim Cahill
Mark Bowden
Robert A. Dahl
Jeremy Treglown
Emma Donoghue
Dashka Slater
Jean Rhys
Miles J. Stanford
Darcy Frey
Lonn M. Friend
Brandon Mull
Warren G. Bennis
Robert Bringhurst
Robert W. Harris
Robin Landa
Victoria Holt
P.J. O'Rourke
P.J. Tracy
Marilyn Sadler
Mark Cahill
Maxine Swann
James    Campbell
International Code Council (ICC)
Michael      Casey
Alexander Pope
Charles R. Miller
Shaun Tomson
Charles Petzold
Darwin Porter
Robert  Evans
Ian Ogilvy
David Ogilvy
Guy Ogilvy
Natalie Goldberg
Michael  Howard
Michael C. Feathers
Nancy Hall
Louis L'Amour
Gordon Dahlquist
Michael D. Coe
Martin Fowler
Paul Pearsall
Randall Hyde
Daidōji Yūzan
Lawrence Lessig
Bob Marley
Russell Shorto
Craig Keller
Bard E. O'Neill
Bard Thompson
Jim Northrup
Daniel Abdal-Hayy Moore
Jenny Hendy
Anne Brontë
Robin Hobb
Minette Walters
Wendy Cooling
E. Nesbit
Catherine Nichols
Betty Jay
Hannah  Green
Hugh Laurie
Peter F. Hamilton
Peter  Dale
Peter Hamilton
Walt Whitman
David S. Reynolds
Justin Kaplan
Barbara Kerley
Mamiko Murakami
Alison Baverstock
Judith Cornell
Charles Simic
Cornell Woolrich
Tony DiTerlizzi
Louis Begley
Karen Zeinert
Nancy MacDonell Smith
Brian Braithwaite
David Bromberg
Hania Czajkowski
Paco Underhill
Stephen M. Pollan
Emmanuel Le Roy Ladurie
Sam R. Watkins
Alexander Hunter
David Wood
Dave Crane
Rosa Montero
Mario Vargas Llosa
