publisher,average_rating
Texas A&M University Press,5.0
Th1nk Books,3.49
Thames  Hudson,4.0475
Thames & Hudson,4.12
Thames & Hudson Ltd,4.04
That Patchwork Place,4.25
The Audio Partners,3.83
The Berkley Publishing Group,4.02
The Bodley Head Ltd,4.17
The Chicken House,3.92
The Crossroad Publishing Company,4.3
The Disinformation Company (NYC),3.64
The Guilford Press,3.6375
The Harvill Press,4.23
The Liffey Press,3.82
The MIT Press,3.5300000000000002
The Modern Library,3.82
The Modern Library New York,4.3
The Monacelli Press,4.220000000000001
The New Press,3.956666666666667
The New York Review Children's Collection,4.21
The Orion Publishing Group Ltd,3.93
The Overlook Press,4.215
The Putnam & Grosset Group,4.24
Theatre Communications Group,3.752
Thomas Dunne Books,3.79
Thomas Nelson,4.049047619047619
Thomas Nelson Publishers,3.72
Thomas Publications (PA),4.03
Thomas Y. Crowell Company,4.21
Thorndike Press,3.7566666666666664
Thorndike Press Large Print,4.359999999999999
Three Rivers Press,3.879
Three Rivers Press (CA),3.918333333333333
Thunder's Mouth Press Books,3.17
Timber Press (OR),3.83
Time Life Books,4.0
Time Life Medical,3.839
Time Warner Books UK,4.63
Time Warner Paperbacks,4.085
Time-Life Books,3.88
Time-Life Books  Inc.,3.56
Timeless Texts,4.25
Times Books,3.835
Tin House Books,4.1
Tin House Magazine,3.9
Tinder Press,3.7
Titan,4.18
Titan Books,3.9450000000000003
Titan Books Ltd,3.28
TokyoPop,4.0873684210526315
Tokyopop,3.72
Tom Doherty Associates,3.81
Tom Doherty Associates/Orb Books,4.29
Tom Doherty Tor Fantasy,4.24
Tommy Nelson,3.955
Top Shelf Productions,3.905
Topaz,3.49
Tor,4.15
Tor Books,3.835131578947369
Tor Classics,3.86
Tor Fantasy,3.7769999999999997
Tor Science Fiction,3.6675
Totem Books,3.5566666666666666
Touchstone,3.9174999999999995
Touchstone Books,4.021428571428571
Tougher Disguises,4.32
Townsend Press,3.64
Trafalgar Square Publishing,2.75
Trafford Publishing,3.49
Transaction Publishers,3.87
Transworld Publishers,3.8266666666666667
Transworld Publishers Ltd,4.1
Travelers' Tales,3.38
Treat Enterprises,3.63
Trine Day,3.92
Triple Crown Publications,4.449999999999999
Troll Communications,4.03
Tropismos,3.84
Turtleback,3.87
Turtleback Books,3.946153846153846
Turtleback Books Distributed by Demco Media,4.17
TusQuets,3.9
Tusquets,3.81
Tuttle Publishing,3.915
Twayne Publishers,3.78
Twenty-First Century Books (CT),4.0
Twin Palms Publishers,4.54
Two Lions,3.27
Two Plus Two Publishing LLC,4.2
Tyndale House Publishers,4.26
Tyndale Momentum,4.34
US Green Building Council,4.12
US Naval Institute Press,4.16
Ullstein,3.85
Ullstein Buchverlage GmbH & Co. KG / Ullstein Tas,4.41
Ullstein Tb,4.415
Ulysses Press,4.115
Umbriel,3.652
Underwood/Miller  Berkley,3.79
Union Square Press,4.2
Univ Of Minnesota Press,4.02
Universal Publishers,4.0
Universe,4.295
Universe Publishing(NY),4.83
University Of Chicago Press,4.12875
University Of Minnesota Press,4.34
University Press of America,3.98
University Press of Florida,4.16
University Press of Kansas,3.8675
University Press of Kentucky,3.9299999999999997
University Press of Mississippi,4.011428571428572
University Press of New England,5.0
University of Alaska Press,3.5
University of Arizona Press,4.0
University of Arkansas Press,4.015000000000001
University of Calgary Press,3.88
University of California Press,3.998076923076923
University of Chicago Press,4.022142857142858
University of Georgia Press,4.0525
University of Illinois Press,3.8725
University of Massachusetts Press,3.7566666666666664
University of Michigan Press,4.058
University of Minnesota Press,4.12
University of Nebraska Press,3.675
University of New Mexico Press,3.52
University of North Carolina Press,3.8800000000000003
University of Notre Dame Press,3.83
University of Oklahoma Press,4.10375
University of Pennsylvania Press,3.9933333333333336
University of Pittsburgh Press,4.33
University of South Carolina Press,3.75
University of Texas Press,4.29
University of Texas Press (Austin/London),3.96
University of Toronto Press,2.0
University of Utah Press,3.73
University of Washington Press,4.0925
University of Wisconsin Press,3.65
Unwin Paperbacks,3.92
Urban Books,4.38
Urion Press,4.32
Usborne Books,3.35
VIZ Media,4.428571428571429
VIZ Media LLC,4.242613636363637
Vacation Work Publications,3.57
Van Patten Publishing,4.39
Vanderbilt University Press,3.14
Vanguard Press,3.8
Vantage Press,5.0
VeloPress,4.29
Vendome Press,3.68
Verba Mundi,3.8
Veritas Publishing,4.5
Vermilion,3.974
Verso,3.9679999999999995
Versus Press,3.37
Vertical,3.6999999999999997
Vertigo,4.160714285714286
Vertigo (DC Comics),3.07
Victor Gollancz,3.84
Vida,4.35
Viking,3.946
Viking Adult,3.9814285714285718
Viking Books,3.772307692307692
Viking Books for Young Readers,4.285
Viking Children's Books,4.045
Viking Juvenile,4.015
Viking Penguin Inc.,3.73
Viking Press,4.01
Viking UK,4.14
Viking; G. P. Putnam & Sons,4.13
Villard,3.82625
Villard Books,3.97
Vince Emery Productions,3.98
Vintage,3.8941823899371064
Vintage Books,3.9438461538461533
Vintage Books USA,3.999
Vintage Books a division of Random House,4.35
Vintage Books/Vintage Classics,3.97
Vintage Classics,4.001739130434783
Vintage Contemporaries,3.9525
Vintage Crime,4.01
Vintage Crime/Black Lizard,3.9593333333333334
Vintage Espanol,3.785
Vintage International,3.8527777777777774
Vintage/Ebury,3.92
Vintage/Ebury (A Division of Random House Group),3.73
Vintage/Random House (NY),4.03
Vintage/Random House Inc. (NYC),3.91
Virago,3.92
Virago Press (UK),4.23
Virago Press Ltd,4.11
Virago UK,3.77
Virgin Publishing,3.3166666666666664
Vision,3.8561538461538456
Vision Forum,4.1
Vivendi,3.81
Viz Media,4.1770000000000005
Voice,2.93
Volo,2.75
Voyager,4.045
Voyageur Press,4.45
W Publishing Group,4.04
W. W. Norton  Company,4.004117647058823
W. W. Norton & Co.,3.43
W. W. Norton & Company,3.9655813953488375
W. W. Norton and Company,3.77
W.W. Norton,4.0600000000000005
W.W. Norton  Company,3.62
W.W. Norton & Company,3.95625
W.W. Norton & Company  Inc. (NY),3.78
W.W. Norton & Company (NY),4.1
W.W. Norton & Company (NY/London),3.94
W.W. Norton & Company (NYC),3.8850000000000002
Wadsworth Publishing Company,3.5475
Waking Lion Press,3.8150000000000004
Walker,3.94
Walker & Company,3.6633333333333336
Walker Books,4.010000000000001
Walker Books Ltd,3.95
Walter Foster Publishing,1.0
Walter de Gruyter,3.84
Warne,4.2700000000000005
Warner,4.085
Warner Adult,4.11
Warner Books,3.9124
Warner Books (NY),3.904285714285714
Warner Forever,3.975
Warner Vision,3.83
Warners Visions Books,4.04
Wasendorf & Associates Inc,3.93
Washington Square Press,3.7891891891891887
WaterBrook,3.61
Waterbrook Press,3.855
Watkins,4.08
Watkins Publishing,3.57
Watson-Guptill,4.12
Watson-Guptill Publications,4.06
Waveland Press,4.08
Wayne State University Press,4.220000000000001
Webster's New World,4.32
Weidenfeld & Nicolson,4.025
Weiser Books,4.1
Welcome Books,4.88
Wenner Books,4.11
Wesleyan University Press,4.09
Western Publishing Company  Golden Books,4.62
Westholme Publishing,4.47
Westminster John Knox Press,3.8125
Westview Press,3.75
Wheeler Publishing,3.9625
Whitaker House,4.239999999999999
White Wolf Games Studio,3.58
Wildside Press,3.891428571428571
Wildstorm,4.04
Wiley,3.883181818181818
Wiley (TP),4.37
Wiley Publishing,3.6849999999999996
Wiley Publishing  Inc.,3.84
Wiley-Blackwell,3.8614285714285717
Wilhelm Goldmann Verlag  GmbH,3.8950000000000005
William B. Eerdmans Publishing Company,4.096666666666667
William Heinemann,3.93
William Heinemann Ltd.,4.42
William Morrow,3.950714285714286
William Morrow & Company,3.985
William Morrow & Company  Inc.,4.39
William Morrow & Company (NYC),4.11
William Morrow / Harper,4.25
William Morrow / HarperCollins / Harper Perennial,4.25
William Morrow Paperbacks,3.778620689655172
William Morrow; 1ST edition,4.13
Windsor Golden Series,4.31
Wings,3.9769999999999994
Wings Books,4.243333333333333
Winter on the Farm (My First Little House),4.15
Wipf & Stock Publishers,3.72
Wisdom Publications,4.21
Wizarding World Press,4.05
Wizards of the Coast,3.8737931034482758
Woodbridge Press Publishing Company,3.47
Woodrow Wilson Center Press / Johns Hopkins University Press,3.5
Wordsworth Classics,4.38
Wordsworth Editions,3.882222222222222
Workman Publishing Company,4.0685714285714285
World Wrestling Entertainment Books,3.62
Worth Publishers,3.99
Writer's Digest Books,3.9675
Wyatt Book,4.0
Xlibris Corporation,4.07
Xulon Press,4.0
Y Lolfa,5.0
Yale University Press,3.9684
Yale University Press (New Haven  CT),4.02
Yapı Kredi Yayınları,4.42
Yearling,3.8978571428571427
Yearling Books,3.9055555555555554
Yellow Jersey,3.62
Yesterday's Classics,3.5
York Press,3.6
Yoruba Theological Archministry,4.39
Yosemite Conservancy,3.96
Young Picador,3.19
YoungJin Singapore Pte. Ltd.,3.57
Your Coach Digital,4.06
Zebra,3.658
Zebra Books,3.9
Zenith Press,3.91
Zeta Bolsillo,4.12
Zondervan,3.9792307692307696
Zondervan Publishing Company,3.8466666666666662
Zondervan Publishing House,4.7
btb,4.03
dtv,4.17
iBooks,3.77
iUniverse,4.28
l'ecole des loisirs,4.17
rbooks,4.08
Éditions 10/18,4.02
Éditions de L'Olivier,3.82
Éditions de Minuit,3.83
Éditions du Rocher,3.33
Эксмо,4.3
ガンガンコミックス,4.548
ビブロス,4.37
小学館,4.232666666666667
小学館 [Shōgakukan],4.06
時報出版,3.79
東立,4.55625
皇冠文化出版有限公司,4.5649999999999995
聯經出版事業股份有限公司,4.4
英文漢聲出版股份有限公司,4.22
角川書店 (Kadokawa Shoten),3.8150000000000004
講談社,4.283333333333333
集英社,4.2375
