Au8,Au8_CN,Au,Ag,Al,As,B,Ba,Ca,Ce,Co,Cr,Cu,Fe,Hg,K,La,Mg,Mn,Mo,Ni,P,Pb,S,Sb,Sr,Th,Ti,V,Y,Zn
0.21,17.5,1.2,1.4,5200,632,19,316,2000,104,17,81,59,26100,14,4200,56,300,60,8,10,960,437,24700,346,28,22,16,8,8,159
7.96,80.0,9.95,2.0,7800,13100,20,530,3400,83,6,79,25,96800,32,4900,44,400,428,16,2,1750,682,10000,22515,131,16,15,20,16,119
1.87,20.41,9.16,1.6,7700,3222,21,241,2400,104,22,111,46,25800,13,6000,58,300,95,6,25,1120,144,24700,400,18,24,18,14,7,376
0.07,2.27,3.08,0.8,5600,2123,29,662,2900,115,7,50,26,17300,4,4100,65,300,278,3,10,1290,147,16200,88,27,23,13,9,8,52
0.07,2.55,2.75,0.9,8000,3970,23,570,5500,111,8,98,7,29600,6,5600,63,1400,1226,5,9,1250,204,12800,61,31,23,19,19,9,45
0.84,11.41,7.36,4.5,5700,2765,17,297,2300,99,18,76,159,26200,15,4400,55,300,598,5,12,1310,1997,20700,271,27,22,20,18,9,129
0.09,4.95,1.82,4.7,7100,1563,20,329,2500,101,15,81,468,32100,9,4900,58,400,825,5,8,1290,1622,25000,158,26,22,24,16,9,74
0.19,36.54,0.52,3.1,7500,418,21,417,2700,98,17,82,101,28600,8,5100,55,600,877,7,9,1300,1364,19800,67,29,22,23,17,11,90
0.24,5.08,4.72,0.7,5100,1832,17,58,800,101,18,90,11,20600,6,3900,57,300,51,3,14,370,63,19800,337,17,23,17,12,7,82
0.03,3.53,0.85,0.6,5800,859,16,151,1500,103,21,97,491,19100,3,4700,58,300,22,4,10,730,95,17100,88,29,24,18,12,8,27
0.05,4.76,1.05,0.6,5500,832,15,220,700,86,17,121,115,20200,3,4300,48,300,29,4,10,370,83,20300,53,26,21,17,16,9,40
0.03,2.97,1.01,0.9,4400,1080,14,223,700,80,19,80,139,24100,5,3700,45,200,16,9,11,280,93,25200,133,16,20,15,12,7,62
0.06,2.59,2.32,0.7,5300,2811,15,140,2500,90,13,95,8,27900,2,4300,51,400,30,3,11,1080,69,31400,184,8,21,20,18,6,78
0.06,6.9,0.87,0.7,5700,4952,24,418,3200,78,41,34,21,42400,20,4800,41,900,2651,4,61,1120,274,15900,240,24,28,26,14,14,524
0.08,8.08,0.99,1.1,8900,2233,29,430,3300,92,16,37,29,36600,5,5700,50,1300,2610,16,15,1220,150,8300,54,37,29,27,15,13,335
3.44,61.87,5.56,1.5,6500,1163,16,455,4600,88,15,32,310,102500,24,3900,49,1900,10480,20,11,1030,265,14600,261,47,23,29,20,16,386
2.27,55.64,4.08,3.1,6400,3590,18,218,4000,99,47,39,211,110000,15,4700,57,1200,7036,15,32,1030,939,52700,372,23,23,21,17,14,354
0.11,16.18,0.68,0.6,7500,3693,24,438,3800,99,18,48,12,62600,24,5500,53,1700,4695,10,19,1160,792,19300,104,33,26,45,18,13,379
0.38,5.97,6.36,1.1,6500,35387,23,179,2800,107,52,73,18,64300,24,5000,61,700,3087,9,45,1030,551,56200,4213,28,22,20,15,10,1454
0.06,7.14,0.84,0.6,7900,3161,30,681,3100,126,42,47,24,29800,17,5300,71,800,2031,14,30,1210,129,11800,187,47,29,65,12,14,2113
0.08,12.31,0.65,0.6,7700,2551,29,490,3400,93,11,38,65,31500,7,5500,49,700,2365,8,10,1230,148,9000,54,39,29,25,15,14,417
0.06,6.32,0.95,1.0,4500,3947,21,35,2900,88,41,56,56,54300,7,3900,48,300,1748,19,31,1170,185,39800,197,15,29,23,14,9,351
0.32,13.28,2.41,0.6,3600,9112,15,30,2500,81,26,50,23,32600,26,3500,46,200,37,17,25,1200,106,34400,380,12,29,20,11,7,581
0.36,18.56,1.94,0.6,5700,4315,22,115,3600,102,30,62,73,57400,6,4500,54,1400,3354,22,23,1170,876,18900,317,34,29,35,30,13,573
0.13,4.58,2.84,1.2,7000,3919,22,238,3100,110,14,58,31,43000,6,5800,60,700,2015,7,13,1180,676,22100,62,23,32,27,20,11,224
0.02,2.94,0.68,2.2,6500,3740,24,422,4000,89,23,43,84,78900,3,5200,50,900,6509,6,16,1260,903,23300,150,23,29,18,15,13,346
0.02,3.39,0.59,7.8,6700,2186,19,55,3400,85,12,45,53,52300,3,5100,45,2100,1975,11,10,1220,5244,25700,180,19,32,29,22,11,145
0.58,17.68,3.28,3.1,5300,4261,26,91,300,111,49,71,50,26400,2,4300,63,200,20,4,21,410,327,21300,958,31,23,14,11,12,640
0.75,26.04,2.88,1.7,5800,5479,25,169,1500,124,41,72,12,34300,4,4400,72,200,43,5,24,1100,357,27100,577,36,23,19,14,12,978
1.71,55.52,3.08,3.6,6400,3889,25,413,600,162,66,74,56,34000,5,5900,97,300,67,4,25,1200,3104,17200,3782,125,23,17,13,11,374
0.37,24.18,1.53,1.0,5200,8463,25,247,1700,114,62,48,6,31200,5,4400,66,200,533,3,26,1000,1203,23100,703,74,23,11,9,11,443
1.66,42.35,3.92,0.6,4900,4596,25,281,1800,121,37,53,4,16800,5,4600,69,200,54,4,33,950,77,11900,279,19,22,15,12,8,234
0.73,25.61,2.85,2.9,4300,8836,29,52,2000,99,14,63,297,47700,5,3500,56,300,21,6,8,940,493,46100,315,13,19,10,6,5,60
5.86,71.38,8.21,4.1,4600,3965,43,103,1700,92,18,93,301,40800,4,3900,52,300,28,7,9,840,381,39500,212,16,19,20,4,5,44
0.52,16.25,3.2,6.4,5000,2272,39,244,2000,100,23,82,411,39500,2,4200,58,300,31,8,9,920,991,38800,306,14,21,22,3,5,40
0.24,25.0,0.96,7.3,5800,1043,43,89,1800,65,24,103,2467,42200,11,4200,37,400,30,12,4,880,530,43100,1006,13,18,34,4,3,76
0.24,5.22,4.6,0.6,3600,6769,23,122,2000,132,15,64,8,27500,4,3400,75,300,84,5,21,1010,176,17800,1294,17,24,13,15,10,305
0.25,21.55,1.16,0.6,4800,3352,40,150,2400,122,13,71,44,37400,2,3900,69,1600,1160,5,12,940,100,20900,103,17,23,12,11,8,121
0.78,19.9,3.92,0.7,4100,4972,41,189,1900,115,16,76,20,35800,4,3500,65,300,85,6,15,960,144,26500,271,27,21,13,8,8,118
0.5,42.37,1.18,7.1,4500,4240,36,114,2500,136,15,55,391,52000,8,3600,78,500,1262,5,15,1290,2333,21400,944,19,23,13,12,16,371
0.2,23.53,0.85,12.7,6400,5191,45,88,2400,133,27,77,1867,55400,10,4800,76,900,1147,5,25,1000,1151,43300,992,21,22,15,15,11,416
0.12,3.61,3.32,24.5,3700,8501,28,190,2300,102,10,53,11,39900,5,3500,57,1900,723,7,9,1000,13647,27500,1789,13,18,10,10,6,64
0.26,1.55,16.78,4.0,3400,16315,19,187,2400,100,11,58,38,40200,12,3400,55,400,1053,6,11,960,2135,30700,8450,17,17,12,16,9,76
0.62,4.72,13.14,5.2,3600,11751,24,116,3000,101,15,57,1395,62300,16,3400,55,700,1547,10,12,1030,241,46100,845,14,18,12,17,11,199
0.14,23.73,0.59,0.7,4200,7257,24,190,3700,130,8,41,68,53700,5,4000,74,2000,3140,7,11,1100,89,15700,123,15,20,14,16,14,58
0.02,0.61,3.28,0.7,4800,5782,22,260,3000,119,18,49,57,39600,1,4700,66,900,1679,11,11,1140,95,19300,1462,21,19,16,16,11,87
0.02,0.63,3.2,0.6,4100,4838,16,193,2800,106,14,51,32,27700,1,4200,58,400,1252,7,10,1160,79,18000,9560,21,17,17,17,9,65
0.87,5.03,17.31,15.2,4700,13666,21,218,2200,98,9,66,376,35200,7,4500,53,400,551,9,9,1000,1641,25400,678,15,15,20,16,7,90
0.05,0.98,5.12,0.7,4100,6022,22,313,2400,122,9,56,33,26000,2,4000,67,900,639,14,9,1150,75,15900,4119,19,19,13,11,7,66
0.06,11.76,0.51,0.8,4500,999,24,276,2700,76,23,41,58,24500,3,3300,43,300,30,9,30,1160,235,23100,248,16,20,15,6,8,1094
0.05,0.58,8.56,1.8,5500,28557,26,245,2200,104,72,48,94,44500,34,3900,59,300,32,11,101,880,652,55400,851,27,20,19,9,8,895
0.06,2.97,2.02,0.5,5300,7648,29,146,2500,95,43,58,32,23200,6,3700,53,300,15,8,53,1020,44,25400,347,14,23,10,7,9,1126
11.63,67.03,17.35,1.5,4400,1270,18,144,1000,106,16,9,19,33700,6,4600,64,300,708,5,10,460,157,20100,16874,61,18,10,16,9,482
1.07,82.95,1.29,0.5,5800,3068,30,188,2100,120,39,56,9,34400,9,5100,72,400,1126,4,25,890,44,17400,554,47,24,13,11,14,378
0.37,30.83,1.2,1.0,5500,1483,28,218,2100,112,27,59,8,32700,2,4500,66,400,1572,5,17,770,119,21700,6724,17,23,16,12,11,324
0.07,6.54,1.07,1.5,6200,12747,34,89,3200,90,175,5,8,30800,15,3700,48,400,111,18,227,1290,322,36900,853,19,18,10,7,8,2651
0.02,2.5,0.8,9.0,8100,13912,27,321,3300,135,15,34,13,15100,26,4700,75,500,53,8,28,1230,6673,18400,1002,26,29,13,14,11,458
0.06,1.44,4.16,6.7,7200,66960,28,40,2800,110,10,37,6,33600,29,4200,61,400,120,13,15,1070,5488,63400,1114,21,23,13,12,10,374
0.11,6.29,1.75,0.7,6400,5786,23,146,2900,120,14,37,9,23700,8,4300,68,500,97,3,31,1190,115,20100,128,22,20,13,12,8,216
-0.01,1.28,0.78,0.5,6500,2751,28,74,3100,114,14,12,10,26300,2,4000,65,800,929,2,30,1210,45,20300,17755,27,17,19,16,12,124
0.85,94.44,0.9,1.9,4800,5848,13,677,1300,118,8,37,25,33800,2,5300,67,300,768,13,4,1100,1651,3900,1519,71,28,11,12,6,76
0.94,32.19,2.92,10.9,5100,4964,15,281,900,84,21,64,9,23300,5,5100,47,300,41,4,17,710,3127,18300,66,17,25,13,10,5,94
1.75,28.59,6.12,9.8,4100,4965,9,168,400,80,19,6,68,31000,4,4500,44,200,70,4,7,1040,5509,17600,328,54,25,11,15,6,38
0.03,1.79,1.68,1.2,3900,2420,18,304,3100,76,9,44,14,29000,2,4000,41,1400,1387,5,14,1230,368,14400,10179,17,27,11,15,11,174
0.1,2.94,3.4,5.1,3900,1339,13,27,2500,65,8,67,92,43200,2,3600,35,300,286,4,16,1120,3398,40500,5982,11,23,10,9,6,377
0.02,2.33,0.86,1.1,3200,1951,14,63,2700,82,7,9,16,27500,1,3200,43,1000,412,4,14,1190,1055,19800,1644,13,26,11,11,8,213
0.43,24.57,1.75,1.3,5200,6349,13,241,200,40,18,90,4,34000,26,4400,22,300,11,2,16,230,662,31800,303,10,27,13,8,7,127
0.26,20.31,1.28,4.0,4400,6881,10,196,200,65,24,11,540,44600,108,4000,38,200,35,2,14,280,937,40400,627,9,24,11,7,5,223
0.2,14.08,1.42,2.2,6800,5655,13,285,300,35,38,10,9,34500,21,4800,20,500,29,2,19,1910,1174,31600,273,13,25,17,9,4,115
0.08,6.61,1.21,4.3,5100,8303,21,222,200,49,26,82,42,33700,42,4500,28,300,17,3,16,120,1248,32700,808,7,22,16,9,3,180
0.22,26.19,0.84,0.9,2800,4400,6,248,100,62,21,39,2,24100,15,2800,36,100,8,2,16,160,401,23800,173,15,23,10,7,6,154
0.24,6.59,3.64,5.6,5800,4827,9,225,200,41,22,10,7,38900,15,4000,23,600,36,1,22,1140,2630,37800,675,11,24,19,9,5,283
0.15,5.17,2.9,0.6,4800,3059,5,289,200,104,10,46,4,26900,159,3000,58,300,13,2,12,830,164,27100,400,31,27,19,10,12,978
0.33,9.59,3.44,0.6,4000,2109,6,248,200,102,9,6,3,26700,18,2800,57,300,18,1,10,360,103,25200,290,26,24,18,8,10,454
0.11,7.53,1.46,0.9,5800,13208,5,289,300,51,11,51,4,28000,14,3400,29,900,35,2,11,980,281,32500,833,34,19,39,6,4,647
0.06,6.59,0.91,0.5,6900,1138,10,413,300,74,12,6,7,27900,5,4000,41,1200,37,1,12,1650,112,25900,241,45,24,43,12,5,546
0.05,4.24,1.18,1.0,5900,3514,8,285,300,98,16,37,7,34100,20,3100,56,700,22,2,19,1280,254,33500,625,52,27,28,11,6,914
0.04,3.7,1.08,0.8,7000,26105,8,195,300,67,17,62,5,32200,157,3600,37,900,23,2,28,980,183,43600,4055,52,21,31,13,6,1148
0.07,4.83,1.45,0.5,7800,8953,15,422,200,88,28,6,8,24500,16,4700,49,800,29,3,44,1000,120,25500,2009,58,24,24,11,21,642
0.1,10.99,0.91,0.5,4200,722,10,490,200,73,9,28,3,19600,8,3200,41,500,9,3,12,320,125,18500,157,24,25,14,7,10,243
0.05,1.67,3.0,0.6,8500,3941,19,468,200,114,15,37,25,22000,38,5600,63,400,12,4,17,480,106,21400,2002,36,27,12,11,7,103
0.59,3.15,18.73,0.8,5800,26966,20,375,200,108,16,42,20,21000,284,4300,61,200,7,3,25,160,60,31100,2223,30,25,13,12,6,78
0.2,2.05,9.76,0.9,5300,16672,24,368,200,100,19,6,16,22800,150,4300,57,200,21,2,22,160,91,26600,1221,23,25,11,12,7,67
0.08,2.82,2.84,0.6,5000,3361,10,396,200,118,13,37,5,20400,9,3800,66,200,9,1,16,1140,120,19200,130,40,24,15,10,9,103
0.12,12.63,0.95,2.7,2800,6196,16,139,200,53,13,7,5,37300,6,2000,29,100,29,1,10,920,2253,37700,751,17,24,15,4,4,31
0.06,5.0,1.2,12.7,5800,9647,10,97,200,75,7,43,54,29200,36,2400,44,100,12,3,16,690,7690,38500,13463,53,21,12,8,5,2081
0.01,1.19,0.84,5.8,3300,723,9,270,3300,98,11,34,11,59100,7,3000,60,600,4075,3,10,1160,3890,21400,3753,16,22,16,11,7,3576
0.02,1.63,1.23,2.9,4800,8229,13,277,3200,95,8,31,7,44800,8,4700,57,500,2760,4,8,1220,1977,20400,1858,13,24,16,11,6,702
0.03,4.23,0.71,0.9,3200,317,10,128,2600,88,14,6,7,37100,1,3100,52,300,851,2,7,1150,225,28000,565,12,23,13,11,6,50
0.02,1.19,1.68,1.9,3100,850,10,64,2700,79,15,37,7,29900,2,3000,47,300,545,3,10,1190,1283,24900,3188,12,24,12,8,5,76
0.02,1.79,1.12,4.1,4500,6735,15,294,2800,102,15,42,6,29800,2,3800,60,400,560,5,8,1280,3744,27400,728,12,24,10,6,9,137
0.06,3.47,1.73,20.6,4600,7375,11,29,2700,63,8,44,158,30600,9,3800,39,400,543,9,7,1220,13559,30500,1739,10,22,11,15,7,177
0.14,6.48,2.16,0.8,4000,6336,10,57,2400,52,12,59,7,34400,4,3700,30,300,123,4,9,1160,351,33900,1736,10,23,13,9,6,49
0.11,2.22,4.96,0.6,4900,2141,13,98,2400,118,11,41,7,23100,4,4700,72,300,15,4,8,1140,42,20700,346,13,23,20,13,5,85
0.04,1.86,2.15,3.5,4600,5830,24,316,3400,111,11,5,42,23200,7,4100,65,300,145,2,10,1410,1898,19300,270,20,25,10,13,7,389
0.05,2.82,1.77,2.0,3600,4921,12,27,2700,97,9,6,33,32700,2,4000,58,300,1675,2,7,1190,1703,16600,394,13,25,17,9,6,89
0.05,2.48,2.02,2.5,3600,1308,13,26,2700,105,6,5,24,18600,3,4100,63,200,305,3,7,1240,2144,14100,1060,16,26,15,8,5,69
0.07,2.99,2.34,21.9,4100,11042,12,30,2800,89,8,38,415,29900,40,4300,54,300,1566,3,9,1140,15861,22900,2268,15,24,16,10,6,120
0.15,3.38,4.44,1.8,3300,32973,11,154,2100,70,12,5,36,23800,8,3600,42,200,280,4,7,920,767,34100,7282,13,19,11,16,4,70
0.05,2.96,1.69,3.4,4600,5506,14,401,2700,95,7,31,383,15900,6,4700,57,200,19,4,8,1260,1526,16600,750,16,24,13,9,6,93
0.01,1.56,0.64,0.7,4000,628,18,319,2900,94,20,31,6,24900,1,3500,53,200,27,9,10,1260,536,23300,133,17,25,10,7,6,103
0.02,0.45,4.44,0.5,4200,7166,17,395,2800,90,8,5,10,22100,3,4500,53,400,410,5,9,1150,65,16800,2173,16,22,12,14,7,64
0.46,25.14,1.83,1.9,4800,288,18,220,100,59,17,9,7,37700,2,3000,32,300,43,7,13,1340,574,32700,166,22,16,12,5,5,78
0.02,3.28,0.61,0.6,6100,600,7,305,400,92,11,9,7,29100,1,3100,49,200,38,3,16,1140,243,25000,133,21,20,11,6,28,472
0.12,10.53,1.14,1.0,4700,341,16,300,100,105,12,11,35,30800,2,3500,56,200,53,3,12,1030,399,24500,137,23,21,15,8,8,171
0.32,26.45,1.21,0.8,4300,342,19,274,100,99,12,8,67,25500,8,3200,53,200,46,4,11,820,341,20000,138,26,21,10,6,8,118
0.28,11.11,2.52,1.1,4500,334,15,277,200,114,12,10,12,25600,14,3400,61,200,45,3,16,830,536,21400,4649,25,24,11,8,9,244
0.03,4.84,0.62,1.2,6100,4531,21,437,100,97,19,5,8,25300,8,3800,53,500,32,3,23,910,161,24200,115,16,22,15,7,11,808
0.03,4.35,0.69,1.3,4300,3867,18,299,2700,143,6,9,3,20400,1,3800,86,400,747,3,12,1140,108,9800,80,24,27,11,9,9,78
0.06,3.45,1.74,0.7,4400,4158,16,412,2400,134,14,9,89,15500,5,4000,81,300,66,9,22,1150,119,11300,278,23,26,13,6,6,211
0.04,6.45,0.62,0.5,4500,5445,20,585,2400,139,8,8,12,17000,3,4100,85,300,129,4,13,1180,42,11400,68,25,26,15,8,6,61
0.03,4.29,0.7,0.7,4400,6206,24,437,2600,112,13,8,15,28300,4,3900,67,500,972,8,14,1130,59,14300,89,20,22,15,8,8,81
1.41,66.51,2.12,0.6,5400,17937,10,138,100,69,6,8,17,18400,37,3800,37,200,46,4,5,510,293,19400,1570,94,16,10,10,6,70
0.18,17.14,1.05,0.7,4500,3661,5,262,2100,74,13,9,6,28700,8,3800,39,300,270,3,10,1200,327,24700,389,18,19,15,12,10,155
0.2,6.67,3.0,0.6,4300,3113,11,235,2200,70,14,9,8,42100,9,3500,38,300,1225,3,11,1130,220,32200,5359,23,18,11,14,11,137
0.16,12.21,1.31,0.6,4100,1942,10,262,1800,74,17,13,19,36100,13,3300,40,200,614,2,13,1110,336,27300,210,32,19,11,11,9,112
0.24,8.63,2.78,0.9,3500,8817,7,344,1900,75,13,8,5,30200,10,3200,41,200,623,2,10,1100,131,25600,673,18,18,12,13,9,103
0.19,7.66,2.48,0.8,3100,1421,11,331,1600,77,12,16,5,34300,3,3100,42,200,467,4,12,850,110,25400,154,15,19,12,10,6,121
0.26,12.68,2.05,1.4,3800,753,20,376,800,82,11,8,5,31700,4,3200,45,200,94,4,8,750,177,26000,79,15,19,15,7,6,56
1.97,46.03,4.28,0.8,3300,5125,16,384,100,79,9,16,6,31100,66,2600,43,100,65,3,9,990,88,21000,1279,42,18,16,9,5,29
0.01,1.19,0.84,0.6,7000,41132,24,393,200,65,12,6,6,22900,1109,3200,35,200,42,1,12,1310,211,37200,1370,120,17,16,11,17,918
0.03,1.3,2.3,0.7,5100,28834,19,298,100,72,10,13,9,22500,52,2900,41,200,49,3,15,570,170,30300,3097,57,16,17,8,8,940
0.2,4.0,5.0,0.9,4700,5316,24,85,200,50,19,8,13,34700,57,2900,28,200,69,3,17,1000,308,35200,14948,11,16,17,8,7,1459
0.06,8.45,0.71,0.5,5600,383,18,278,200,86,13,13,6,27700,1,3300,49,200,61,2,16,1240,234,21500,1105,19,20,16,8,13,137
0.16,20.78,0.77,0.5,4900,1742,23,243,200,88,14,7,8,26900,7,3500,51,200,64,2,15,960,204,21500,712,17,20,15,8,9,99
0.05,3.91,1.28,0.6,4500,341,24,263,700,74,19,7,6,28000,2,3600,42,200,62,3,12,940,126,21700,105,19,20,13,5,6,279
0.04,5.41,0.74,0.6,3800,594,13,427,2300,98,9,10,4,24800,1,3000,56,200,58,3,9,1300,119,19700,68,20,20,15,7,6,274
0.06,1.05,5.72,0.9,4300,5601,11,415,2300,95,10,7,6,24100,4,3400,56,200,164,3,10,1210,212,20300,370,19,21,16,10,8,931
0.1,4.17,2.4,1.0,4200,1396,15,151,2500,108,10,13,8,27000,1,3500,63,500,349,3,14,1340,158,18500,107,15,22,19,13,7,246
0.01,1.0,1.0,0.7,4400,1260,16,246,2400,114,24,6,4,33200,1,3600,65,300,56,3,26,1200,144,28700,113,25,23,17,8,8,264
0.01,0.44,2.28,1.1,3800,3256,18,375,3200,96,12,10,95,38600,3,3400,55,600,1951,3,13,1180,163,20500,209,22,21,13,12,9,250
0.06,3.85,1.56,1.8,4300,3782,16,317,2800,121,20,7,717,38700,6,3900,72,1500,1279,3,25,1170,110,18400,224,27,23,13,10,9,648
1.36,28.33,4.8,0.5,4200,1837,14,372,2600,109,10,8,231,30700,5,4000,61,400,564,14,12,1230,36,21000,184,21,22,17,9,8,262
0.07,7.45,0.94,0.5,4000,1033,17,386,2700,106,11,10,403,44900,4,3700,59,400,1486,17,10,1150,31,26600,162,24,23,14,9,9,92
0.34,11.85,2.87,0.6,3600,1675,11,391,2900,110,7,8,235,27200,5,3500,60,1300,1095,17,9,1210,42,10100,184,29,22,31,13,9,307
0.11,13.75,0.8,0.8,3600,1008,19,488,2900,105,7,8,300,30500,3,3500,58,2400,1347,36,9,1190,97,4300,32,31,21,28,15,10,156
0.07,3.54,1.98,0.5,3700,8877,19,380,4400,92,10,8,674,49900,20,3200,51,3800,2813,47,8,1020,43,9600,286,24,20,17,19,19,230
0.15,15.0,1.0,0.6,5200,779,16,588,3800,101,7,13,286,39000,7,3200,56,3400,2002,44,7,1170,50,3400,41,31,21,43,20,14,97
0.14,7.78,1.8,0.5,6900,1539,9,392,3400,114,6,18,401,30400,22,3000,64,4500,779,7,8,1220,174,5100,38,27,23,257,31,14,112
0.09,4.97,1.81,0.6,4900,1787,11,486,3500,118,5,14,365,30300,3,3400,67,2700,1159,7,6,1110,225,4000,76,30,25,148,25,14,96
0.06,10.34,0.58,0.8,7300,1355,14,244,3600,109,8,15,482,32400,1,3600,61,4200,1260,7,9,1140,265,5500,99,27,24,341,31,14,107
0.11,12.79,0.86,1.0,5700,645,5,318,3800,113,8,20,545,32900,1,2200,63,3600,1159,15,8,1170,206,2400,30,26,26,201,35,14,170
0.14,11.67,1.2,0.8,4600,1917,18,216,3400,72,8,12,647,53000,4,4000,39,3500,1531,8,13,990,29,14500,127,19,25,76,25,11,97
0.18,24.0,0.75,1.4,7600,831,10,392,3600,110,8,17,868,35000,5,3600,61,4500,972,7,9,1090,49,3400,33,26,24,395,34,15,71
1.24,26.96,4.6,8.2,3000,4801,9,190,2200,79,7,17,5499,45100,15,2800,42,1800,453,8,7,820,41,23500,95,16,20,26,15,7,63
0.06,8.82,0.68,2.5,3800,7427,10,261,2300,81,124,6,68,39400,67,4000,42,400,570,7,170,1140,1806,34200,1119,19,17,13,7,9,6046
0.2,6.83,2.93,0.7,15200,8617,6,239,200,89,27,14,83,25200,34,3300,50,4100,96,38,26,1880,89,15900,286,40,23,53,28,15,1000
0.51,4.85,10.52,1.6,9000,11091,6,189,300,94,46,9,120,38500,30,3900,52,200,32,9,46,1630,456,35200,220,130,21,27,31,9,1124
0.46,17.49,2.63,7.4,5700,2768,11,351,2300,72,24,7,390,26200,32,4500,38,300,411,3,23,1260,363,18000,317,18,21,18,12,13,493
0.08,4.37,1.83,1.7,4700,7348,13,568,1800,65,28,9,85,21000,40,3800,34,200,61,6,26,990,89,19200,341,22,21,11,14,10,347
0.32,5.98,5.35,8.7,6900,7929,19,52,300,74,15,9,601,29400,315,4700,43,400,44,23,14,830,596,27700,2515,7,23,24,15,8,231
0.1,2.14,4.68,0.8,6800,27839,15,65,200,64,23,11,174,20700,77,3700,37,300,50,31,25,940,68,26200,1856,14,22,24,15,14,320
0.3,1.68,17.89,0.8,9700,87043,13,87,200,64,22,10,19,25100,184,2700,36,100,54,4,28,750,71,52400,1766,142,21,12,14,14,772
0.47,2.38,19.76,5.8,5300,107904,12,121,100,52,14,12,103,45000,565,2700,29,100,57,3,12,490,120,82400,10838,67,16,11,14,6,391
0.04,3.88,1.03,0.5,6600,4457,15,192,200,109,20,8,10,31200,6,3600,60,200,36,5,15,880,72,26300,45,47,32,41,9,11,67
0.24,9.8,2.45,4.2,9400,18896,13,184,500,96,15,8,188,25900,117,3400,53,200,38,4,14,1070,1201,30300,2656,87,26,11,15,9,571
0.02,2.94,0.68,1.0,4400,1493,18,219,2600,120,9,9,51,22100,32,3800,67,200,81,4,10,1400,313,16800,572,19,29,16,8,8,320
0.01,1.1,0.91,1.0,4500,1160,16,329,2500,114,8,10,17,20500,10,3700,64,200,57,4,8,1370,437,16000,1352,19,30,17,9,8,329
0.02,2.5,0.8,0.7,3700,898,19,516,2400,68,10,7,8,33900,1,2700,35,200,523,11,9,1230,86,25000,22,19,24,11,4,10,55
0.03,1.86,1.61,0.7,3400,1775,18,349,3900,79,8,10,3,45800,1,2700,43,900,2241,2,10,1160,221,23200,107,19,24,11,11,9,73
0.17,16.67,1.02,0.7,3000,1504,11,221,2400,92,14,10,16,37900,2,2700,51,200,1340,4,12,1180,114,25300,7609,13,26,14,5,7,87
0.34,11.53,2.95,0.6,3300,1521,10,81,2200,94,14,11,5,26100,3,2800,53,200,91,4,13,1110,62,21700,4743,13,25,13,5,6,72
0.27,27.0,1.0,1.6,3500,307,13,179,2400,94,14,12,152,32400,4,3000,54,200,1055,5,9,1170,229,19000,225,15,26,18,7,7,80
0.72,100.0,0.7,62.0,3800,1421,26,218,2100,78,75,10,552,39500,2,3100,44,200,143,13,14,1030,9704,35600,319,17,24,14,2,6,4151
0.15,9.15,1.64,12.4,3000,498,22,110,2100,58,33,8,90,22100,2,2800,31,100,56,3,7,1060,1778,17100,108,12,26,13,4,6,657
0.2,16.0,1.25,4.0,3100,359,24,104,1900,109,8,10,354,17300,5,2800,62,200,66,3,5,1040,498,12200,276,11,24,17,7,6,571
0.19,20.0,0.95,1.6,2200,278,20,60,1800,113,58,9,115,38600,2,2200,65,100,48,2,6,1060,128,33100,153,10,23,16,5,6,310
0.13,21.67,0.6,3.5,2400,1120,18,26,1700,60,74,8,67,42500,5,2300,34,100,58,3,5,960,1018,37400,338,8,22,18,5,4,845
0.09,13.24,0.68,0.6,2900,1785,19,279,1800,79,27,7,8,30200,2,2700,42,200,56,4,12,990,32,25200,24,14,23,14,6,6,72
0.07,5.88,1.19,0.6,3200,7421,24,386,1700,87,24,14,10,31900,3,2800,47,200,61,5,12,950,62,28500,152,17,22,15,6,6,75
0.07,6.09,1.15,1.5,2800,6007,18,49,1800,57,35,9,58,44700,23,2600,31,200,95,3,8,970,521,41400,1240,9,21,16,7,5,37
0.07,12.96,0.54,0.7,2500,463,19,126,2100,81,10,12,7,30900,1,2500,44,100,221,2,8,1110,136,23200,94,13,25,15,4,6,46
0.05,5.43,0.92,1.2,2800,12371,23,16,1800,57,63,8,88,52600,25,2400,32,200,678,2,7,960,74,47600,362,8,21,12,10,5,50
0.57,32.76,1.74,1.2,2400,4990,27,16,1700,36,75,20,49,62800,27,2000,20,200,85,14,7,950,108,61900,11180,6,18,16,10,3,21
0.06,7.89,0.76,0.8,2800,2427,24,94,2200,73,13,8,4,29300,3,2700,41,200,192,8,8,1200,269,23400,297,11,25,18,5,6,45
0.02,2.04,0.98,0.8,3300,1857,16,236,2200,75,9,9,3,34600,2,3000,41,300,1219,2,6,1060,566,21000,173,15,25,11,5,6,39
0.09,4.0,2.25,2.3,3800,2062,15,245,2600,79,28,11,245,49700,14,3400,42,400,2128,2,7,1150,147,30400,172,13,25,14,7,7,67
0.46,18.18,2.53,0.9,2700,895,10,110,2000,77,15,9,30,31800,2,2700,42,100,118,2,7,1100,68,24900,48,11,25,12,8,5,44
0.16,8.6,1.86,1.8,2900,796,8,72,2300,77,13,14,327,44300,8,2800,42,200,1961,2,7,1060,305,26400,261,9,25,14,10,8,54
